Title,URL,Creator,Journal,Year,Citations,processed_text,SDG_Category
RESPONS KONSUMEN TERHADAP INSTAGRAM STORIES ANUGERAH TRAVELLERS MELALUI MODEL AIDA,https://scholar.google.com/scholar?q=+intitle:'RESPONS KONSUMEN TERHADAP INSTAGRAM STORIES ANUGERAH TRAVELLERS MELALUI MODEL AIDA',Tidak ditemukan,"Jurnal Kompetitif Bisnis 1 (8), 15-15, 2022",2022,1,respons konsumen terhadap instagram stories anugerah travellers melalui model aida,Konsumsi dan Produksi Bertanggung Jawab
Designing Creative Cities/Districts Within The Framework Of New Urban Agenda,https://scholar.google.com/scholar?q=+intitle:'Designing Creative Cities/Districts Within The Framework Of New Urban Agenda',Tidak ditemukan,"Enrichment: Journal of Management 12 (3), 2299-2303, 2022",2022,0,designing creative citiesdistricts within the framework of new urban agenda,Kota dan Permukiman Berkelanjutan
The Influence of Political Marketing Mix Strategy on The Decision to Choose (Survey on First Voter in Lampung Province),https://scholar.google.com/scholar?q=+intitle:'The Influence of Political Marketing Mix Strategy on The Decision to Choose (Survey on First Voter in Lampung Province)',Tidak ditemukan,"Jurnal Administrativa 4 (2), 309-319, 2022",2022,0,the influence of political marketing mix strategy on the decision to choose survey on first voter in lampung province,Konsumsi dan Produksi Bertanggung Jawab
PENGARUH RETAIL MIX TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN (Survei Pada Konsumen Alfamart di Kecamatan Kemiling Bandar Lampung),https://scholar.google.com/scholar?q=+intitle:'PENGARUH RETAIL MIX TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN (Survei Pada Konsumen Alfamart di Kecamatan Kemiling Bandar Lampung)',Tidak ditemukan,"FAKULTAS ILMU SOSIAL DAN ILMU POLITIK, 2022",2022,0,pengaruh retail mix terhadap keputusan pembelian konsumen survei konsumen alfamart kecamatan kemiling bandar lampung,Konsumsi dan Produksi Bertanggung Jawab
Kreasi Pengetahuan Organisasi: Sebuah Kajian Kritis Atas SECI Model,https://scholar.google.com/scholar?q=+intitle:'Kreasi Pengetahuan Organisasi: Sebuah Kajian Kritis Atas SECI Model',Tidak ditemukan,"Administratio 13 (1), 49-62, 2022",2022,1,kreasi pengetahuan organisasi sebuah kajian kritis atas seci model,Pendidikan Berkualitas
ANALISIS MODEL PENERIMAAN TEKNOLOGI DALAM PENGGUNAAN ONLINE MARKETSPACE SEBAGAI MEDIA PEMASARAN,https://scholar.google.com/scholar?q=+intitle:'ANALISIS MODEL PENERIMAAN TEKNOLOGI DALAM PENGGUNAAN ONLINE MARKETSPACE SEBAGAI MEDIA PEMASARAN',Tidak ditemukan,"Metakom 6 (1), 1-20, 2022",2022,1,analisis model penerimaan teknologi penggunaan online marketspace media pemasaran,"Industri, Inovasi dan Infrastruktur"
THE EFFECT OF RETAIL MIX ON CUNSUMER PURCHASING DECISION,https://scholar.google.com/scholar?q=+intitle:'THE EFFECT OF RETAIL MIX ON CUNSUMER PURCHASING DECISION',Tidak ditemukan,"Jurnal Kompetitif Bisnis 1 (7), 2022",2022,0,the effect of retail mix on cunsumer purchasing decision,Konsumsi dan Produksi Bertanggung Jawab
"The influence of service quality, price perception, product innovation and consumer confidence on consumer satisfaction: Survey on industrial fuel recipients in the Lampung region","https://scholar.google.com/scholar?q=+intitle:'The influence of service quality, price perception, product innovation and consumer confidence on consumer satisfaction: Survey on industrial fuel recipients in the Lampung region'",Tidak ditemukan,"International Journal of Advanced Multidisciplinary Research and Studies 2 …, 2022",2022,1,the influence of service quality price perception product innovation and consumer confidence on consumer satisfaction survey on industrial fuel recipients in the lampung region,Konsumsi dan Produksi Bertanggung Jawab
Similirity: ANALISIS MODEL PENERIMAAN TEKNOLOGI DALAM PENGGUNAAN ONLINE MARKETSPACE SEBAGAI MEDIA PEMASARAN,https://scholar.google.com/scholar?q=+intitle:'Similirity: ANALISIS MODEL PENERIMAAN TEKNOLOGI DALAM PENGGUNAAN ONLINE MARKETSPACE SEBAGAI MEDIA PEMASARAN',Tidak ditemukan,"FISIP Unila, 2022",2022,0,similirity analisis model penerimaan teknologi penggunaan online marketspace media pemasaran,"Industri, Inovasi dan Infrastruktur"
Similirity: Designing Creative Cities/Districts Within The Framework Of New Urban Agenda,https://scholar.google.com/scholar?q=+intitle:'Similirity: Designing Creative Cities/Districts Within The Framework Of New Urban Agenda',Tidak ditemukan,"IOCS, 2022",2022,0,similirity designing creative citiesdistricts within the framework of new urban agenda,Kota dan Permukiman Berkelanjutan
