Title,URL,Creator,Journal,Year,Citations
RESPONS KONSUMEN TERHADAP INSTAGRAM STORIES ANUGERAH TRAVELLERS MELALUI MODEL AIDA,https://scholar.google.com/scholar?q=+intitle:'RESPONS KONSUMEN TERHADAP INSTAGRAM STORIES ANUGERAH TRAVELLERS MELALUI MODEL AIDA',Tidak ditemukan,"Jurnal Kompetitif Bisnis 1 (8), 15-15, 2022",2022,1
Designing Creative Cities/Districts Within The Framework Of New Urban Agenda,https://scholar.google.com/scholar?q=+intitle:'Designing Creative Cities/Districts Within The Framework Of New Urban Agenda',Tidak ditemukan,"Enrichment: Journal of Management 12 (3), 2299-2303, 2022",2022,0
The Influence of Political Marketing Mix Strategy on The Decision to Choose (Survey on First Voter in Lampung Province),https://scholar.google.com/scholar?q=+intitle:'The Influence of Political Marketing Mix Strategy on The Decision to Choose (Survey on First Voter in Lampung Province)',Tidak ditemukan,"Jurnal Administrativa 4 (2), 309-319, 2022",2022,0
PENGARUH RETAIL MIX TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN (Survei Pada Konsumen Alfamart di Kecamatan Kemiling Bandar Lampung),https://scholar.google.com/scholar?q=+intitle:'PENGARUH RETAIL MIX TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN (Survei Pada Konsumen Alfamart di Kecamatan Kemiling Bandar Lampung)',Tidak ditemukan,"FAKULTAS ILMU SOSIAL DAN ILMU POLITIK, 2022",2022,0
Kreasi Pengetahuan Organisasi: Sebuah Kajian Kritis Atas SECI Model,https://scholar.google.com/scholar?q=+intitle:'Kreasi Pengetahuan Organisasi: Sebuah Kajian Kritis Atas SECI Model',Tidak ditemukan,"Administratio 13 (1), 49-62, 2022",2022,1
ANALISIS MODEL PENERIMAAN TEKNOLOGI DALAM PENGGUNAAN ONLINE MARKETSPACE SEBAGAI MEDIA PEMASARAN,https://scholar.google.com/scholar?q=+intitle:'ANALISIS MODEL PENERIMAAN TEKNOLOGI DALAM PENGGUNAAN ONLINE MARKETSPACE SEBAGAI MEDIA PEMASARAN',Tidak ditemukan,"Metakom 6 (1), 1-20, 2022",2022,1
THE EFFECT OF RETAIL MIX ON CUNSUMER PURCHASING DECISION,https://scholar.google.com/scholar?q=+intitle:'THE EFFECT OF RETAIL MIX ON CUNSUMER PURCHASING DECISION',Tidak ditemukan,"Jurnal Kompetitif Bisnis 1 (7), 2022",2022,0
"The influence of service quality, price perception, product innovation and consumer confidence on consumer satisfaction: Survey on industrial fuel recipients in the Lampung region","https://scholar.google.com/scholar?q=+intitle:'The influence of service quality, price perception, product innovation and consumer confidence on consumer satisfaction: Survey on industrial fuel recipients in the Lampung region'",Tidak ditemukan,"International Journal of Advanced Multidisciplinary Research and Studies 2 …, 2022",2022,1
Similirity: ANALISIS MODEL PENERIMAAN TEKNOLOGI DALAM PENGGUNAAN ONLINE MARKETSPACE SEBAGAI MEDIA PEMASARAN,https://scholar.google.com/scholar?q=+intitle:'Similirity: ANALISIS MODEL PENERIMAAN TEKNOLOGI DALAM PENGGUNAAN ONLINE MARKETSPACE SEBAGAI MEDIA PEMASARAN',Tidak ditemukan,"FISIP Unila, 2022",2022,0
Similirity: Designing Creative Cities/Districts Within The Framework Of New Urban Agenda,https://scholar.google.com/scholar?q=+intitle:'Similirity: Designing Creative Cities/Districts Within The Framework Of New Urban Agenda',Tidak ditemukan,"IOCS, 2022",2022,0
Similirity: Kreasi Pengetahuan Organisasi: Sebuah Kajian Kritis Teoretis terhadap SECI Model,https://scholar.google.com/scholar?q=+intitle:'Similirity: Kreasi Pengetahuan Organisasi: Sebuah Kajian Kritis Teoretis terhadap SECI Model',Tidak ditemukan,"FISIP Unila, 2022",2022,0
PENGEMBANGAN EKOSISTEM INDUSTRI KREATIF KULINER DENGAN MENGGUNAKAN HELIX MODEL (Kajian Sub Sektor Kuliner di Kota Bandar Lampung),https://scholar.google.com/scholar?q=+intitle:'PENGEMBANGAN EKOSISTEM INDUSTRI KREATIF KULINER DENGAN MENGGUNAKAN HELIX MODEL (Kajian Sub Sektor Kuliner di Kota Bandar Lampung)',Tidak ditemukan,"KOLONI 1 (4), 704-713, 2022",2022,0
"Strategi Penguatan Kapabilitas Dinamik Personal, Modal Sosial dan Kearifan Lokal dan Trust dalam Pencegahan Politik Uang di Lampung","https://scholar.google.com/scholar?q=+intitle:'Strategi Penguatan Kapabilitas Dinamik Personal, Modal Sosial dan Kearifan Lokal dan Trust dalam Pencegahan Politik Uang di Lampung'",Tidak ditemukan,"Wacana Publik 16 (2), 2022",2022,0
Impact of green management and earning management of energy companies in Indonesia,https://scholar.google.com/scholar?q=+intitle:'Impact of green management and earning management of energy companies in Indonesia',Tidak ditemukan,"International Journal of Energy Economics and Policy 12 (3), 192-196, 2022",2022,3
Effect of Green Management and Earning Management of Energy Companies in Indonesia,https://scholar.google.com/scholar?q=+intitle:'Effect of Green Management and Earning Management of Energy Companies in Indonesia',Tidak ditemukan,"International Journal of Energy Economics and Policy, 2022, 12 (3), 192-196., 2022",2022,2
Pelatihan penyusunan perangkat pembelajaran IPA bagi guru SD dalam rangka menghadapi tantangan revolusi industri 4.0,https://scholar.google.com/scholar?q=+intitle:'Pelatihan penyusunan perangkat pembelajaran IPA bagi guru SD dalam rangka menghadapi tantangan revolusi industri 4.0',Tidak ditemukan,"Jurnal Pengabdian Masyarakat MIPA Dan Pendidikan MIPA 6 (1), 29-34, 2022",2022,3
Pelatihan Penulisan Karya Ilmiah bagi Guru Sekolah Dasar,https://scholar.google.com/scholar?q=+intitle:'Pelatihan Penulisan Karya Ilmiah bagi Guru Sekolah Dasar',Tidak ditemukan,"Jurnal Pengabdian kepada Masyarakat 2 (1), 81-86, 2022",2022,0
Pelatihan Pembuatan Penelitian Tindakan Kelas pada Guru-Guru SD Kecamatan Kota Gajah Lampung Tengah,https://scholar.google.com/scholar?q=+intitle:'Pelatihan Pembuatan Penelitian Tindakan Kelas pada Guru-Guru SD Kecamatan Kota Gajah Lampung Tengah',Tidak ditemukan,"Jurnal Pengabdian Masyarakat Ilmu Pendidikan 1 (01), 2022",2022,0
Analisis Faktor Kesulitan Belajar Matematika Masa Pandemi Covid-19 Pada Peserta Didik Kelas Iv Sds Tri Sukses,https://scholar.google.com/scholar?q=+intitle:'Analisis Faktor Kesulitan Belajar Matematika Masa Pandemi Covid-19 Pada Peserta Didik Kelas Iv Sds Tri Sukses',Tidak ditemukan,"Jurnal Pendidikan Matematika Universitas Lampung 10 (2), 128-141, 2022",2022,1
The Empowerment of Critical and Creative Thinking (CCT) Skills through Inquiry Social Complexity (ISC)-based Student Worksheets,https://scholar.google.com/scholar?q=+intitle:'The Empowerment of Critical and Creative Thinking (CCT) Skills through Inquiry Social Complexity (ISC)-based Student Worksheets',Tidak ditemukan,"WSEAS Transactions on Environment and Development,(18), 865-872, 2022",2022,2
Empowerment of Critical and Creative Thinking (CCT) Skills Through Student Worksheets Based on Inquiry Social Complexity (ISC),https://scholar.google.com/scholar?q=+intitle:'Empowerment of Critical and Creative Thinking (CCT) Skills Through Student Worksheets Based on Inquiry Social Complexity (ISC)',Tidak ditemukan,"WSEAS Transactions on Environment and Development 18, 865-872, 2022",2022,2
Parent and Teacher Perceptions of Elementary School Zoning System Policy,https://scholar.google.com/scholar?q=+intitle:'Parent and Teacher Perceptions of Elementary School Zoning System Policy',Tidak ditemukan,"Terampil: Jurnal Pendidikan dan Pembelajaran Dasar 9 (2), 139-149, 2022",2022,0
The formation of character among students of primary school teacher education in a public higher education institution in Indonesia,https://scholar.google.com/scholar?q=+intitle:'The formation of character among students of primary school teacher education in a public higher education institution in Indonesia',Tidak ditemukan,"International Journal of Educational Studies in Social Sciences (IJESSS) 1 …, 2022",2022,3
"Pengaruh Penerapan Model Pembelajaran Inkuiri Peserta Didik SDN 2 Campang Raya, Sukabumi Bandar lampung","https://scholar.google.com/scholar?q=+intitle:'Pengaruh Penerapan Model Pembelajaran Inkuiri Peserta Didik SDN 2 Campang Raya, Sukabumi Bandar lampung'",Tidak ditemukan,"Terampil: Jurnal Pendidikan dan Pembelajaran Dasar 8 (2), 161-169, 2022",2022,1
