Title,URL,Creator,Journal,Year,Citations,processed_text,SDG_Category
Land elevation and slope exposition impacts on rubber wood production volume under agroforestry system,https://scholar.google.com/scholar?q=+intitle:'Land elevation and slope exposition impacts on rubber wood production volume under agroforestry system',Tidak ditemukan,"E3S Web of Conferences 305, 03003, 2021",2021,0,land elevation and slope exposition impacts on rubber wood production volume under agroforestry system,"Industri, Inovasi dan Infrastruktur"
PERAN INFORMASI MODAL INTELEKTUAL SEBAGAI VARIABEL MODERASI PADA HUBUNGAN ANTARA MODAL INTELEKTUAL DAN NILAI PERUSAHAAN,https://scholar.google.com/scholar?q=+intitle:'PERAN INFORMASI MODAL INTELEKTUAL SEBAGAI VARIABEL MODERASI PADA HUBUNGAN ANTARA MODAL INTELEKTUAL DAN NILAI PERUSAHAAN',Tidak ditemukan,"Jurnal Magister Akuntansi Trisakti 8 (2), 133-150, 2021",2021,0,peran informasi modal intelektual variabel moderasi hubungan antara modal intelektual nilai perusahaan,"Industri, Inovasi dan Infrastruktur"
Validity and practicality level of acid-base electronic module based on structured inquiry containing three levels of chemical representation for senior high school student,https://scholar.google.com/scholar?q=+intitle:'Validity and practicality level of acid-base electronic module based on structured inquiry containing three levels of chemical representation for senior high school student',Tidak ditemukan,"Journal of Physics: Conference Series 1788 (1), 012038, 2021",2021,16,validity and practicality level of acidbase electronic module based on structured inquiry containing three levels of chemical representation for senior high school student,Energi Bersih dan Terjangkau
Analisis permasalahan operasional angkutan umum di Bandar Lampung,https://scholar.google.com/scholar?q=+intitle:'Analisis permasalahan operasional angkutan umum di Bandar Lampung',Tidak ditemukan,"REKAYASA: Jurnal Ilmiah Fakultas Teknik Universitas Lampung 25 (2), 32-35, 2021",2021,0,analisis permasalahan operasional angkutan umum bandar lampung,Kota dan Permukiman Berkelanjutan
PENINGKATAN PENGETAHUAN MASYARAKAT LANJUT USIA MENGENAI VAKSINASI DI KECAMATAN SUKARAME KOTA BANDAR LAMPUNG,https://scholar.google.com/scholar?q=+intitle:'PENINGKATAN PENGETAHUAN MASYARAKAT LANJUT USIA MENGENAI VAKSINASI DI KECAMATAN SUKARAME KOTA BANDAR LAMPUNG',Tidak ditemukan,"unila, 2021",2021,0,peningkatan pengetahuan masyarakat lanjut usia mengenai vaksinasi kecamatan sukarame kota bandar lampung,Kota dan Permukiman Berkelanjutan
Korespondensi Publikasi Artikel JoTC: Bioassay-Guided Separation Approach for Characterization of New Antibacterial Fractions from the Stem Roots Extracts of Archidendron jiringa,https://scholar.google.com/scholar?q=+intitle:'Korespondensi Publikasi Artikel JoTC: Bioassay-Guided Separation Approach for Characterization of New Antibacterial Fractions from the Stem Roots Extracts of Archidendron jiringa',Tidak ditemukan,"Turkish Chemical Society, 2021",2021,0,korespondensi publikasi artikel jotc bioassayguided separation approach for characterization of new antibacterial fractions from the stem roots extracts of archidendron jiringa,Ekosistem Darat
PENGERINGAN CHIP UMBI PORANG MENGGUNAKAN ALAT PENGERING HYBRID TIPE RAK (Skripsi) Oleh ANDIKA RIZKI ADITYA,https://scholar.google.com/scholar?q=+intitle:'PENGERINGAN CHIP UMBI PORANG MENGGUNAKAN ALAT PENGERING HYBRID TIPE RAK (Skripsi) Oleh ANDIKA RIZKI ADITYA',Tidak ditemukan,"FAKULTAS PERTANIAN, 2021",2021,0,pengeringan chip umbi porang menggunakan alat pengering hybrid tipe rak skripsi andika rizki aditya,Energi Bersih dan Terjangkau
Visualize the colonial history of The Dutch East Indies Government in Lampung as a local history Learning Media,https://scholar.google.com/scholar?q=+intitle:'Visualize the colonial history of The Dutch East Indies Government in Lampung as a local history Learning Media',Tidak ditemukan,"International Journal of Progressive Sciences and Technologies (IJPSAT) 28 …, 2021",2021,3,visualize the colonial history of the dutch east indies government in lampung as a local history learning media,Pendidikan Berkualitas
"The Effect of Perceived Price, Delivery Quality and Perceive Value on Purchase Intentions Mediated by Consumer Satisfaction (Study on E-commerce In Indonesia During Covid 19 …","https://scholar.google.com/scholar?q=+intitle:'The Effect of Perceived Price, Delivery Quality and Perceive Value on Purchase Intentions Mediated by Consumer Satisfaction (Study on E-commerce In Indonesia During Covid 19 …'",Tidak ditemukan,"ICEBE 2021: Proceedings of the 4th International Conference of Economics …, 2022",2022,2,the effect of perceived price delivery quality and perceive value on purchase intentions mediated by consumer satisfaction study on ecommerce in indonesia during covid 19,Konsumsi dan Produksi Bertanggung Jawab
MODEL DESAIN PEMBELAJARAN,https://scholar.google.com/scholar?q=+intitle:'MODEL DESAIN PEMBELAJARAN',Tidak ditemukan,"Pusaka Media, 2022",2022,0,model desain pembelajaran,Pendidikan Berkualitas
Pengaruh Gaya Belajar Terhadap Hasil Belajar IPA di SD Negeri 3 Tiuh Memon,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Gaya Belajar Terhadap Hasil Belajar IPA di SD Negeri 3 Tiuh Memon',Tidak ditemukan,"Pedagogi : Jurnal Pendidikan Dasar 10 (2), 99-112, 2022",2022,2,pengaruh gaya belajar terhadap hasil belajar ipa sd negeri 3 tiuh memon,Pendidikan Berkualitas
Pengaruh Penambahan Serat Baja dan Serat Polypropylene Terhadap Kuat Tekan dan Kuat Lentur Beton,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Penambahan Serat Baja dan Serat Polypropylene Terhadap Kuat Tekan dan Kuat Lentur Beton',Tidak ditemukan,"Jurnal Rekayasa Sipil dan Desain 8 (4), 681-692, 2021",2021,4,pengaruh penambahan serat baja serat polypropylene terhadap kuat tekan kuat lentur beton,Kota dan Permukiman Berkelanjutan
The Analysis of the Effectiveness of Delivery Order (DO) Online on Import Activities at Terminal 3 International PT. IPC TPK,https://scholar.google.com/scholar?q=+intitle:'The Analysis of the Effectiveness of Delivery Order (DO) Online on Import Activities at Terminal 3 International PT. IPC TPK',Tidak ditemukan,"Advances in Transportation and Logistics Research 4, 935-947, 2021",2021,3,the analysis of the effectiveness of delivery order do online on import activities at terminal 3 international pt ipc tpk,Konsumsi dan Produksi Bertanggung Jawab
Study on the Effect of Maternal Death Determinant in Lampung Province using Structural Equation Modeling-AMOS,https://scholar.google.com/scholar?q=+intitle:'Study on the Effect of Maternal Death Determinant in Lampung Province using Structural Equation Modeling-AMOS',Tidak ditemukan,"NVEO-NATURAL VOLATILES & ESSENTIAL OILS Journal| NVEO, 1152-1162, 2021",2021,1,study on the effect of maternal death determinant in lampung province using structural equation modelingamos,Kesehatan dan Kesejahteraan
Dampak pengadaan tanah terhadap perubahan penggunaan lahan dan kondisi sosial masyarakat,https://scholar.google.com/scholar?q=+intitle:'Dampak pengadaan tanah terhadap perubahan penggunaan lahan dan kondisi sosial masyarakat',Tidak ditemukan,"GEOGRAPHY: Jurnal Kajian, Penelitian dan Pengembangan Pendidikan 9 (2), 170-182, 2021",2021,9,dampak pengadaan tanah terhadap perubahan penggunaan lahan kondisi sosial masyarakat,Kota dan Permukiman Berkelanjutan
Recognition of Copy Move Forgeries in Digital Images using Hybrid Optimization and Convolutional Neural Network Algorithm,https://scholar.google.com/scholar?q=+intitle:'Recognition of Copy Move Forgeries in Digital Images using Hybrid Optimization and Convolutional Neural Network Algorithm',Tidak ditemukan,"(IJACSA) International Journal of Advanced Computer Science and Applications …, 2022",2022,8,recognition of copy move forgeries in digital images using hybrid optimization and convolutional neural network algorithm,Kemitraan untuk Mencapai Tujuan
ANALISA STRUKTUR PONDASI GEDUNG REKTORAT UNIVERSITAS MUARA BUNGO-JAMBI (Gedung Berlantai 7),https://scholar.google.com/scholar?q=+intitle:'ANALISA STRUKTUR PONDASI GEDUNG REKTORAT UNIVERSITAS MUARA BUNGO-JAMBI (Gedung Berlantai 7)',Tidak ditemukan,Jurnal KOMPOSITS 2 (2),2021,0,analisa struktur pondasi gedung rektorat universitas muara bungojambi gedung berlantai 7,Pendidikan Berkualitas
Development of Testing Equipment of Gravitational Water Vortex Turbine to Support Implementation the Laboratory Work,https://scholar.google.com/scholar?q=+intitle:'Development of Testing Equipment of Gravitational Water Vortex Turbine to Support Implementation the Laboratory Work',Tidak ditemukan,"Proceedings of the International Conference on Science, Technology and …, 2021",2021,2,development of testing equipment of gravitational water vortex turbine to support implementation the laboratory work,Energi Bersih dan Terjangkau
"Pengaruh Financial Leverage, Profitability, dan Capital Intensity Terhadap Agresivitas Pajak","https://scholar.google.com/scholar?q=+intitle:'Pengaruh Financial Leverage, Profitability, dan Capital Intensity Terhadap Agresivitas Pajak'",Tidak ditemukan,"SIMBA: Seminar Inovasi Manajemen, Bisnis, dan Akuntansi 2, 2021",2021,3,pengaruh financial leverage profitability capital intensity terhadap agresivitas pajak,Pekerjaan Layak dan Pertumbuhan Ekonomi
Education Curriculum Reform in Higher Education Through Evaluation Measures (Case Study of Research and Development of Teaching Material for Scientific Writing Courses at Iain …,https://scholar.google.com/scholar?q=+intitle:'Education Curriculum Reform in Higher Education Through Evaluation Measures (Case Study of Research and Development of Teaching Material for Scientific Writing Courses at Iain …',Tidak ditemukan,"Review of International Geographical Education Online 11 (5), 3103-3119, 2021",2021,0,education curriculum reform in higher education through evaluation measures case study of research and development of teaching material for scientific writing courses at iain,Pendidikan Berkualitas
Strategi Peningkatan Outcome Mahasiswa Sebagai Daya Saing Lulusan FISIP UNILA,https://scholar.google.com/scholar?q=+intitle:'Strategi Peningkatan Outcome Mahasiswa Sebagai Daya Saing Lulusan FISIP UNILA',Tidak ditemukan,"Universitas Lampung, 2022",2022,0,strategi peningkatan outcome mahasiswa daya saing lulusan fisip unila,Pendidikan Berkualitas
Perbedaan Kadar Asam Urat Tikus Putih (Rattus Norvegicus) Setelah Pemberian Kacang Tanah (Arachis Hypogaea L.),https://scholar.google.com/scholar?q=+intitle:'Perbedaan Kadar Asam Urat Tikus Putih (Rattus Norvegicus) Setelah Pemberian Kacang Tanah (Arachis Hypogaea L.)',Tidak ditemukan,"Medical Profession Journal of Lampung 12 (2), 277-280, 2022",2022,0,perbedaan kadar asam urat tikus putih rattus norvegicus setelah pemberian kacang tanah arachis hypogaea l,Ekosistem Darat
UJI EFEK STIMULAN FRAKSI N-HEKSAN DAUN PEGAGAN (Centella asiatica (L.)Urban),https://scholar.google.com/scholar?q=+intitle:'UJI EFEK STIMULAN FRAKSI N-HEKSAN DAUN PEGAGAN (Centella asiatica (L.)Urban)',Tidak ditemukan,"Jurnal Farmasi Lampung 10 (2), 121-130, 2022",2022,1,uji efek stimulan fraksi nheksan daun pegagan centella asiatica lurban,Air Bersih dan Sanitasi Layak
Isolasi dan Modifikasi Artokarpin dari Tumbuhan Artocarpus serta Uji Antibakteri,https://scholar.google.com/scholar?q=+intitle:'Isolasi dan Modifikasi Artokarpin dari Tumbuhan Artocarpus serta Uji Antibakteri',Tidak ditemukan,,2021,0,isolasi modifikasi artokarpin tumbuhan artocarpus serta uji antibakteri,Ekosistem Darat
"PEMANFAATAN TEKNOLOGI UAV UNTUK PEMBUATAN PETA KAWASAN DESA WISATA DUSUN GUNUNG AGUNG, BRAJA HARJOSARI, LAMPUNG TIMUR","https://scholar.google.com/scholar?q=+intitle:'PEMANFAATAN TEKNOLOGI UAV UNTUK PEMBUATAN PETA KAWASAN DESA WISATA DUSUN GUNUNG AGUNG, BRAJA HARJOSARI, LAMPUNG TIMUR'",Tidak ditemukan,"Jurnal Pengabdian Kepada Masyarakat Sakai Sambayan 6 (3), 201-205, 2022",2022,3,pemanfaatan teknologi uav pembuatan peta kawasan desa wisata dusun gunung agung braja harjosari lampung timur,Kota dan Permukiman Berkelanjutan
LTSIT Laboratory,https://scholar.google.com/scholar?q=+intitle:'LTSIT Laboratory',Tidak ditemukan,,2021,0,ltsit laboratory,Ekosistem Darat
Evaluasi Pemanfaatan Media E-Learning dengan Menggunakan Model Assure pada Pembelajaran Pendidikan Agama Islam SMK 17 Agustus 1945 Surabaya,https://scholar.google.com/scholar?q=+intitle:'Evaluasi Pemanfaatan Media E-Learning dengan Menggunakan Model Assure pada Pembelajaran Pendidikan Agama Islam SMK 17 Agustus 1945 Surabaya',Tidak ditemukan,"EDURELIGIA: Jurnal Pendidikan Agama Islam 5 (1), 104-115, 2021",2021,3,evaluasi pemanfaatan media elearning menggunakan model assure pembelajaran pendidikan agama islam smk 17 agustus 1945 surabaya,Pendidikan Berkualitas
Obstruksi Saluran Nafas Atas grade III ec Kassabach Merrit Syndrome+ Bronchopneumonia+ DIC,https://scholar.google.com/scholar?q=+intitle:'Obstruksi Saluran Nafas Atas grade III ec Kassabach Merrit Syndrome+ Bronchopneumonia+ DIC',Tidak ditemukan,"Medical Profession Journal of Lampung 12 (3), 478-485, 2022",2022,0,obstruksi saluran nafas atas grade iii ec kassabach merrit syndrome bronchopneumonia dic,Kesehatan dan Kesejahteraan
A Review of Abnormal Accrual at Government: A Bibliometric Study,https://scholar.google.com/scholar?q=+intitle:'A Review of Abnormal Accrual at Government: A Bibliometric Study',Tidak ditemukan,,2021,1,a review of abnormal accrual at government a bibliometric study,Konsumsi dan Produksi Bertanggung Jawab
